行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
47,集贤新烧录器,v1.2.4,20230105 16:50:46,mac:3873EAE83EAE,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999989
48,集贤新烧录器,v1.2.4,20230105 16:50:46,mac:3873EAE83EAF,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999989
49,集贤新烧录器,v1.2.4,20230105 16:50:46,mac:3873EAE83EB0,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999989
50,集贤新烧录器,v1.2.4,20230105 16:50:46,mac:3873EAE83EB1,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999989
51,集贤新烧录器,v1.2.4,20230105 16:51:03,mac:3873EAE83EAE,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999988
52,集贤新烧录器,v1.2.4,20230105 16:51:03,mac:3873EAE83EAF,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999988
53,集贤新烧录器,v1.2.4,20230105 16:51:03,mac:3873EAE83EB0,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999988
54,集贤新烧录器,v1.2.4,20230105 16:51:03,mac:3873EAE83EB1,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999988
55,集贤新烧录器,v1.2.4,20230105 16:51:03,mac:3873EAE83EB2,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999988
56,集贤新烧录器,v1.2.4,20230105 16:51:20,mac:3873EAE83EAF,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999987
57,集贤新烧录器,v1.2.4,20230105 16:51:20,mac:3873EAE83EB0,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999987
58,集贤新烧录器,v1.2.4,20230105 16:51:20,mac:3873EAE83EB1,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999987
59,集贤新烧录器,v1.2.4,20230105 16:51:20,mac:3873EAE83EB2,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999987
