行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
11,集贤新烧录器,v1.2.4,20230220 14:05:58,mac:2273EAE83EA6,PASS,COM7,1,烧录成功,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2085166936,20640,3269414273,0x7e000,滚码烧录,,,,2273EAE83EA4,9999999,9999996
12,集贤新烧录器,v1.2.4,20230220 14:05:58,mac:2273EAE83EA7,FAIL,COM7,2,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2085166936,20640,3269414273,0x7e000,滚码烧录,,,,2273EAE83EA4,9999999,9999996
13,集贤新烧录器,v1.2.4,20230220 14:05:58,mac:2273EAE83EA8,FAIL,COM7,3,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2085166936,20640,3269414273,0x7e000,滚码烧录,,,,2273EAE83EA4,9999999,9999996
14,集贤新烧录器,v1.2.4,20230220 14:05:58,mac:2273EAE83EA9,FAIL,COM7,4,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2085166936,20640,3269414273,0x7e000,滚码烧录,,,,2273EAE83EA4,9999999,9999996
15,集贤新烧录器,v1.2.4,20230220 14:05:58,mac:2273EAE83EAA,FAIL,COM7,5,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2085166936,20640,3269414273,0x7e000,滚码烧录,,,,2273EAE83EA4,9999999,9999996
16,集贤新烧录器,v1.2.4,20230220 14:07:56,mac:2373EAE83EA4,PASS,COM7,1,烧录成功,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999998
17,集贤新烧录器,v1.2.4,20230220 14:07:56,mac:2373EAE83EA5,FAIL,COM7,2,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999998
18,集贤新烧录器,v1.2.4,20230220 14:07:56,mac:2373EAE83EA6,FAIL,COM7,3,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999998
19,集贤新烧录器,v1.2.4,20230220 14:07:56,mac:2373EAE83EA7,FAIL,COM7,4,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999998
20,集贤新烧录器,v1.2.4,20230220 14:07:56,mac:2373EAE83EA8,FAIL,COM7,5,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999998
21,集贤新烧录器,v1.2.4,20230220 14:08:38,mac:2373EAE83EA5,PASS,COM7,1,烧录成功,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999997
22,集贤新烧录器,v1.2.4,20230220 14:08:38,mac:2373EAE83EA6,FAIL,COM7,2,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999997
23,集贤新烧录器,v1.2.4,20230220 14:08:38,mac:2373EAE83EA7,FAIL,COM7,3,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999997
24,集贤新烧录器,v1.2.4,20230220 14:08:38,mac:2373EAE83EA8,FAIL,COM7,4,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999997
25,集贤新烧录器,v1.2.4,20230220 14:08:38,mac:2373EAE83EA9,FAIL,COM7,5,没检测到芯片,32543634390C1140,BK3633,uac053-sw-a0-1.0,,200672,2249625428,20640,3269414273,0x7e000,滚码烧录,,,,2373EAE83EA4,9999999,9999997
