行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
71,集贤新烧录器,v1.2.4,20220401 17:38:07,mac:3873EAE83EA7,FAIL,COM4,1,烧录失败,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
72,集贤新烧录器,v1.2.4,20220401 17:38:07,mac:3873EAE83EA8,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
73,集贤新烧录器,v1.2.4,20220401 17:38:07,mac:3873EAE83EA9,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
74,集贤新烧录器,v1.2.4,20220401 17:38:07,mac:3873EAE83EAA,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
75,集贤新烧录器,v1.2.4,20220401 17:38:07,mac:3873EAE83EAB,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
76,集贤新烧录器,v1.2.4,20220401 17:38:19,mac:3873EAE83EA7,FAIL,COM4,1,烧录失败,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
77,集贤新烧录器,v1.2.4,20220401 17:38:19,mac:3873EAE83EA8,FAIL,COM4,2,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
78,集贤新烧录器,v1.2.4,20220401 17:38:19,mac:3873EAE83EA9,FAIL,COM4,3,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
79,集贤新烧录器,v1.2.4,20220401 17:38:19,mac:3873EAE83EAA,FAIL,COM4,4,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
80,集贤新烧录器,v1.2.4,20220401 17:38:19,mac:3873EAE83EAB,FAIL,COM4,5,没检测到芯片,304D3337370D5206,TG7120B,simpleBlePeriphe,phy6222.,235728,2285522820,0,,0x400e3,滚码烧录,,,,3873EAE83EA4,9999999,9999996
